kunde_id;firmenname;branche;plz;ort;ansprechpartner;email;niederlassung;betreuer;kundenstatus;rahmenvertrag;verrechnungssatz_std;letzte_anfrage;anfragen_2025;besetzungen_2025
KD-0131;Kundenzentrum Saalfeld AG;Kaufmännische Dienstleistung;07318;Saalfeld;Sabine Wolf;office@kundenzentrum.de;Jena;Seidel, C.;Aktiv;Ja;28,52;2026-01-24;2;2
KD-0132;Kundenzentrum Ilmenau GmbH;Kaufmännische Dienstleistung;98693;Ilmenau;Franziska Hartmann;info@kundenzentrum.de;Gotha;Steinbrück, M.;Aktiv;Ja;25,37;2025-12-26;1;0
KD-0133;Kunststofftechnik Aschersleben GmbH & Co. KG;Metall- und Kunststoffverarbeitung;06449;Aschersleben;Manuela Lorenz;verwaltung@kunststofftech.de;Aschersleben;Reuter, B.;Inaktiv;Nein;30,68;2023-06-08;0;0
KD-0134;Logistikzentrum Arnstadt OHG;Logistik und Lager;99310;Arnstadt;Beate Klein;kontakt@logistikzentru.de;Erfurt;Kaiser, T.;Interessent;Nein;;2026-02-28;0;0
KD-0135;CNC-Technik Braun GmbH & Co. KG;CNC-Zerspanung;99817;Eisenach;Elke Albrecht;hr@cnctechnik.de;Gotha;Thiel, K.;Inaktiv;Nein;36,12;2024-08-20;0;0
KD-0136;Präzisionstechnik Kaiser AG;Metall- und Kunststoffverarbeitung;07381;Pößneck;Stefan Schröder;kontakt@praezisionstec.de;Gera;Weber, M.;Aktiv;Ja;28,44;2026-04-29;11;7
KD-0137;Tischlerei Vogt GmbH;Tischlerei und Holzverarbeitung;99510;Apolda;Thomas Baumann;verwaltung@tischlerei.de;Erfurt;Lindner, S.;Aktiv;Ja;33,43;2026-06-20;4;4
KD-0138;Quedlinburger Umschlaglager OHG;Logistik und Lager;6484;Quedlinburg;Uwe Stein;kontakt@quedlinburger.de;Aschersleben;Kunze, J.;Inaktiv;Nein;27,98;2019-12-30;0;0
KD-0139;Staßfurter Umschlaglager KG;Logistik und Lager;39418;Staßfurt;Ralf Böhm;personal@stassfurter.de;Aschersleben;Reuter, B.;Interessent;Nein;;2026-02-04;0;0
KD-0140;Groß Verwaltungsservice KG;Kaufmännische Dienstleistung;99084;Erfurt;Maik Schumacher;kontakt@gross.de;Erfurt;Steinbrück, M.;Aktiv;Ja;30,79;2025-11-23;11;4
KD-0141;Trockenbau Krämer GmbH;Bau und Baunebengewerbe;37308;Heilbad Heiligenstadt;Ines Dietrich;office@trockenbau.de;Heilbad Heiligenstadt;HILLE;Inaktiv;Ja;30,79;2022-03-06;0;0
KD-0142;Lehmann & Söhne Blechbearbeitung e.K.;Metall- und Kunststoffverarbeitung;07549;Gera;Doreen Fischer;personal@lehmann.de;Gera;Steinbrück, M.;Aktiv;Ja;30,55;2026-03-01;2;0
KD-0143;Anlagenbau Jena GmbH & Co. KG;Elektro;07745;Jena;Holger Müller;hr@anlagenbau.de;Jena;Steinbrück, M.;Interessent;Nein;;2026-03-23;0;0
KD-0144;Greizer Umschlaglager KG;Logistik und Lager;07973;Greiz;Silke Kraus;hr@greizer.de;Gera;Weber, M.;Inaktiv;Nein;24,36;2020-01-25;0;0
KD-0145;Kundenzentrum Jena GmbH;Kaufmännische Dienstleistung;07743;Jena;Kevin Kaiser;office@kundenzentrum.de;Jena;Steinbrück, M.;Inaktiv;Nein;29,04;2024-04-15;0;0
KD-0146;Jäger Präzisionsteile KG;CNC-Zerspanung;99423;Weimar;Ralf Keller;verwaltung@jaeger.de;Erfurt;Steinbrück, M.;Aktiv;Nein;34,14;2026-07-25;14;9
KD-0147;Schneider & Söhne Blechbearbeitung KG;Metall- und Kunststoffverarbeitung;99817;Eisenach;Steffen Brandt;kontakt@schneider.de;Gotha;Rehberg, U.;Interessent;Nein;;2026-05-01;0;0
KD-0148;Jenaer Umschlaglager GmbH;Logistik und Lager;07745;Jena;Andreas Engel;office@jenaer.de;Jena;Grunewald, F.;Aktiv;Nein;24,24;2025-12-02;2;0
KD-0149;Anlagenbau Gotha GmbH;Elektro und Anlagenbau;99867;Gotha;Steffen Kuhn;personal@anlagenbau.de;Gotha;Steinbrück, M.;Inaktiv;Nein;37,99;2021-11-29;0;0
KD-0150;CNC-Technik Haas GmbH;CNC-Zerspanung;99974;Mühlhausen;Susanne Möller;personal@cnctechnik.de;Heilbad Heiligenstadt;Marx, D.;Interessent;Nein;;2026-06-27;0;0
KD-0151;Drehteilewerk Gotha OHG;CNC-Zerspanung;99867;Gotha;Jana Haas;kontakt@drehteilewerk.de;Gotha;Rehberg, U.;Inaktiv;Nein;32,61;2022-04-18;0;0
KD-0152;Pohl & Söhne Blechbearbeitung e.K.;Metall- und Kunststoffverarbeitung;99867;Gotha;Beate Hofmann;kontakt@pohl.de;Gotha;Steinbrück, M.;Aktiv;Ja;30,59;2026-01-13;6;4
KD-0153;Verpackungswerk Jena AG;Druck und Verpackung;07745;Jena;Marcel Kuhn;kontakt@verpackungswer.de;Jena;Steinbrück, M.;Inaktiv;Nein;30,13;2024-05-04;0;0
KD-0154;Horn Spedition KG;Logistik und Lager;99310;Arnstadt;Petra Böhm;personal@horn.de;Erfurt;Kaiser, T.;Inaktiv;Nein;28,14;2023-02-10;0;0
KD-0155;Kundenzentrum Nordhausen GmbH;Kaufmännische Dienstleistung;99734;Nordhausen;Antje Brandt;kontakt@kundenzentrum.de;Heilbad Heiligenstadt;Hille, P.;Aktiv;Nein;30,85;2026-07-02;4;2
KD-0156;Wagner Spedition AG;Logistik und Lager;99885;Ohrdruf;Nadine Brandt;office@wagner.de;Gotha;Steinbrück, M.;Aktiv;Ja;26,34;2026-08-29;3;3
KD-0157;Kunststofftechnik Jena GmbH;Metall- und Kunststoffverarbeitung;07743;Jena;Sven Otto;kontakt@kunststofftech.de;Jena;Grunewald, F.;Aktiv;Ja;26,54;2026-05-18;5;1
KD-0158;Präzisionstechnik Fischer AG;Metall- und Kunststoffverarbeitung;99084;Erfurt;Julia Martin;verwaltung@praezisionstec.de;Erfurt;Lindner, S.;Inaktiv;Nein;29,80;2025-07-07;0;0
KD-0159;Druckerei Schneider OHG;Druck und Verpackung;99427;Weimar;Carolin Kaiser;info@druckerei.de;Erfurt;Pfaff, R.;Inaktiv;Ja;28,11;2019-11-06;0;0
KD-0160;Winter Spedition KG;Logistik und Lager;07937;Zeulenroda;Anja Sommer;verwaltung@winter.de;Gera;Bergmann, A.;Inaktiv;Nein;25,98;2025-05-28;0;0
KD-0161;Jenaer Feinmechanik AG;CNC-Zerspanung;07749;Jena;Susanne Fuchs;hr@jenaer.de;Jena;Grunewald, F.;Aktiv;Nein;35,91;2026-05-23;7;3
KD-0162;Schmidt & Söhne Blechbearbeitung GmbH & Co. KG;Metall- und Kunststoffverarbeitung;99734;Nordhausen;Uwe Ludwig;office@schmidt.de;Heilbad Heiligenstadt;Hille, P.;Inaktiv;Ja;27,43;2022-09-12;0;0
KD-0163;Zerspanungstechnik Jena KG;CNC-Zerspanung;07743;Jena;Matthias Neumann;;Jena;Seidel, C.;Aktiv;Ja;29,57;2026-04-10;6;2
KD-0164;Kunststofftechnik Heilbad Heiligenstadt GmbH;Metall- und Kunststoffverarbeitung;37308;Heilbad Heiligenstadt;Kerstin Schmidt;info@kunststofftech.de;Heilbad Heiligenstadt;Marx, D.;Inaktiv;Nein;27,74;2021-09-15;0;0
KD-0165;Weimarer Umschlaglager AG;Logistik und Lager;99427;Weimar;Enrico Otto;kontakt@weimarer.de;Erfurt;Lindner, S.;Interessent;Nein;;2024-06-03;0;0
KD-0166;Trockenbau Stein e.K.;Bau und Baunebengewerbe;07973;Greiz;Ines Krämer;office@trockenbau.de;Gera;Bergmann, A.;Interessent;Nein;;2026-04-14;0;0
KD-0167;Koch Verwaltungsservice GmbH;Kaufmännische Dienstleistung;99867;Gotha;Anja Kaiser;verwaltung@koch.de;Gotha;Steinbrück, M.;Inaktiv;Nein;24,93;2023-07-10;0;0
KD-0168;Zerspanungstechnik Erfurt KG;CNC-Zerspanung;99087;Erfurt;Uwe Heinrich;kontakt@zerspanungstec.de;Erfurt;Pfaff, R.;Inaktiv;Ja;33,29;2021-08-31;0;0
KD-0169;Greizer Metallwaren GmbH & Co. KG;Metall- und Kunststoffverarbeitung;07973;Greiz;Petra Winter;office@greizer.de;Gera;Weber, M.;Interessent;Nein;;2024-11-20;0;0
KD-0170;Elektromontage Hahn KG;Elektro und Anlagenbau;99885;Pößneck;Susanne Lehmann;info@elektromontage.de;Gotha;Rehberg, U.;Inaktiv;Nein;38,82;2021-06-16;0;0
KD-0171;Lang Schaltanlagen GmbH & Co. KG;Elektro und Anlagenbau;99734;Nordhausen;Kevin Schröder;personal@lang.de;Heilbad Heiligenstadt;Hille, P.;Aktiv;Nein;36,04;2026-07-30;2;1
KD-0172;Anlagenbau Stadtroda GmbH;Elektro und Anlagenbau;07646;Stadtroda;Nicole Günther;hr@anlagenbau.de;Jena;Grunewald, F.;Aktiv;Nein;35,66;2026-08-10;2;1
KD-0173;Zerspanungstechnik Jena GmbH & Co. KG;CNC-Zerspanung;07749;Jena;Nadine Schröder;info@zerspanungstec.de;Jena;Seidel, C.;Inaktiv;Nein;30,63;2021-07-27;0;0
KD-0174;Druckerei Lehmann GmbH;Druck und Verpackung;99947;Bad Langensalza;Sabine Graf;verwaltung@druckerei.de;Gotha;Thiel, K.;Inaktiv;Nein;25,83;2020-07-16;0;0
KD-0175;Servicecenter Gera GmbH;Kaufmännische Dienstleistung;07545;Gera;Claudia Roth;info@servicecenter.de;Gera;Weber, M.;Interessent;Nein;;2027-08-14;0;0
KD-0176;Kundenzentrum Nordhausen e.K.;Kaufmännische Dienstleistung;99734;Nordhausen;Alexander Weber;kontakt@kundenzentrum.de;Heilbad Heiligenstadt;Hille, P.;Inaktiv;Nein;29,52;2024-12-17;0;0
KD-0177;Lorenz & Söhne Blechbearbeitung KG;Metall- und Kunststoffverarbeitung;06484;Quedlinburg;Petra Fischer;personal@lorenz.de;Aschersleben;Reuter, B.;Aktiv;Ja;27,39;2026-05-14;6;2
KD-0178;Kundenzentrum Gera AG;Kaufmännische Dienstleistung;07548;Gera;Franziska Werner;personal@kundenzentrum.de;Gera;Weber, M.;Inaktiv;Nein;31,82;2019-10-19;0;0
KD-0179;Molkerei Erfurt OHG;Lebensmittelproduktion;99098;Erfurt;Marco Albrecht;hr@molkerei.de;Erfurt;Pfaff, R.;Inaktiv;Nein;23,64;2020-07-02;0;0
KD-0180;Pößnecker Metallwaren GmbH;Metall- und Kunststoffverarbeitung;07381;Pößneck;Kevin Baumann;kontakt@poessnecker.de;Gera;Weber, M.;Inaktiv;Nein;28,43;2021-12-30;0;0
KD-0181;Zerspanungstechnik Leinefelde-Worbis GmbH;CNC-Zerspanung;37327;Leinefelde-Worbis;Robert Lange;hr@zerspanungstec.de;Heilbad Heiligenstadt;Hille, P.;Inaktiv;Nein;35,04;2023-02-15;0;0
KD-0182;Frank Spedition GmbH;Logistik und Lager;99084;Erfurt;Robert Kuhn;office@frank.de;Erfurt;Kaiser, T.;Inaktiv;Ja;24,76;2023-02-17;0;0
KD-0183;Gothaer Druckhaus GmbH & Co. KG;Druck und Verpackung;99867;Gotha;Sandra Lehmann;office@gothaer.de;Gotha;Rehberg, U.;Inaktiv;Ja;30,41;2024-07-14;0;0
KD-0184;Möbelwerk Sömmerda AG;Tischlerei und Holzverarbeitung;99610;Sömmerda;Christian Günther;personal@moebelwerk.de;Erfurt;Lindner, S.;Inaktiv;Nein;33,52;2021-12-30;0;0
KD-0185;Faltschachtel Arnstadt e.K.;Druck und Verpackung;99310;Arnstadt;Marco Bauer;office@faltschachtel.de;Erfurt;Pfaff, R.;Interessent;Nein;;2026-08-20;0;0
KD-0186;Meier Präzisionsteile OHG;CNC-Zerspanung;99734;Nordhausen;Daniel Ziegler;office@meier.de;Heilbad Heiligenstadt;Hille, P.;Inaktiv;Nein;34,69;2020-12-03;0;0
KD-0187;Ascherslebener Metallwaren GmbH & Co. KG;Metall- und Kunststoffverarbeitung;06449;Aschersleben;Frank Friedrich;office@ascherslebener.de;Aschersleben;Reuter, B.;Aktiv;Ja;30,25;2026-01-31;5;1
KD-0188;Peters Feinkost GmbH;Lebensmittelproduktion;99423;Weimar;Franziska Wolf;office@peters.de;Erfurt;Lindner, S.;Aktiv;Ja;27,77;2026-04-02;6;1
KD-0189;Thüringer Kunststoffwerk Heilbad Heiligenstadt GmbH & Co. KG;Metall- und Kunststoffverarbeitung;37308;Heilbad Heiligenstadt;Stefan Krüger;kontakt@thueringer.de;Heilbad Heiligenstadt;Hille, P.;Inaktiv;Ja;26,42;2023-02-27;0;0
KD-0190;Elektromontage Frank OHG;Elektro und Anlagenbau;99734;Nordhausen;Claudia Kraus;kontakt@elektromontage.de;Heilbad Heiligenstadt;Marx, D.;Interessent;Nein;;2026-07-31;0;0
KD-0191;CNC-Technik Meier GmbH;CNC-Zerspanung;99817;Eisenach;Manuela Möller;office@cnctechnik.de;Gotha;Rehberg, U.;Aktiv;Nein;35,63;2026-02-27;3;0
KD-0192;Verpackungswerk Erfurt GmbH;Druck und Verpackung;99087;Erfurt;Dirk Peters;verwaltung@verpackungswer.de;Erfurt;Lindner, S.;Aktiv;Nein;27,24;2026-04-02;5;2
KD-0193;Druckerei Schumacher AG;Druck und Verpackung;99867;Gotha;Claudia Schubert;personal@druckerei.de;Gotha;Steinbrück, M.;Interessent;Nein;;2024-12-17;0;0
KD-0194;Elektromontage Kraus GmbH;Elektro und Anlagenbau;99310;Arnstadt;Daniel Schulze;office@elektromontage.de;Erfurt;Pfaff, R.;Inaktiv;Nein;38,80;2023-04-10;0;0
KD-0195;Kunststofftechnik Mühlhausen GmbH;Metall- und Kunststoffverarbeitung;99974;Mühlhausen;Elke Lehmann;kontakt@kunststofftech.de;Heilbad Heiligenstadt;Hille, P.;Aktiv;Ja;28,32;2026-05-28;2;1
KD-0196;Meyer Metallverarbeitung KG;Metall- und Kunststoffverarbeitung;06406;Bernburg;Enrico Keller;info@meyer.de;Aschersleben;Reuter, B.;Inaktiv;Ja;30,11;2023-05-04;0;0
KD-0197;Frank Präzisionsteile GmbH;CNC-Zerspanung;37308;Heilbad Heiligenstadt;Doreen Vogel;hr@frank.de;Heilbad Heiligenstadt;Hille, P.;Inaktiv;Nein;29,87;2020-11-09;0;0
KD-0198;Distributionszentrum Aschersleben GmbH;Logistik und Lager;06449;Aschersleben;Beate Köhler;hr@distributionsz.de;Aschersleben;Reuter, B.;Inaktiv;Ja;24,14;2022-04-10;0;0
KD-0199;Präzisionstechnik Scholz OHG;Metall- und Kunststoffverarbeitung;06406;Bernburg;Ralf Koch;hr@praezisionstec.de;Aschersleben;Reuter, B.;Interessent;Nein;;2026-03-24;0;0
KD-0200;Schmidt Metallverarbeitung GmbH & Co. KG;Metall- und Kunststoffverarbeitung;99867;Gotha;Julia Brandt;info@schmidt.de;Gotha;Rehberg, U.;Aktiv;Nein;27,05;2026-03-06;2;1
KD-0201;Anlagenbau Weimar GmbH & Co. KG;Elektro und Anlagenbau;99427;Weimar;Kerstin Lehmann;hr@anlagenbau.de;Erfurt;Pfaff, R.;Inaktiv;Nein;38,62;2024-02-12;0;0
KD-0202;Thüringer Kunststoffwerk Aschersleben GmbH;Metall- und Kunststoffverarbeitung;06449;Aschersleben;Matthias Hartmann;hr@thueringer.de;Aschersleben;Reuter, B.;Aktiv;Nein;31,51;2026-04-13;10;5
KD-0203;Pohl Feinkost GmbH;Lebensmittelproduktion;37308;Heilbad Heiligenstadt;Torsten Hahn;hr@pohl.de;Heilbad Heiligenstadt;Marx, D.;Aktiv;Nein;23,95;2026-08-08;9;2
KD-0204;Meier Holzverarbeitung GmbH;Tischlerei und Holzverarbeitung;99087;Erfurt;Michael Meier;info@meier.de;Erfurt;Steinbrück, M.;Inaktiv;Ja;29,23;2020-11-11;0;0
KD-0205;Kunststofftechnik Arnstadt KG;Metall- und Kunststoffverarbeitung;99310;Arnstadt;Stefan Friedrich;info@kunststofftech.de;Erfurt;Pfaff, R.;Aktiv;Nein;28,55;2026-03-23;4;1
KD-0206;Koch Schaltanlagen GmbH;Elektro und Anlagenbau;06406;Bernburg;Petra Jäger;info@koch.de;Aschersleben;Kunze, J.;Inaktiv;Ja;38,32;2019-09-19;0;0
KD-0207;Anlagenbau Bad Langensalza GmbH;Elektro und Anlagenbau;99947;Bad Langensalza;Ralf Günther;personal@anlagenbau.de;Gotha;Rehberg, U.;Aktiv;Nein;34,49;2026-02-22;2;1
KD-0208;Drehteilewerk Mühlhausen KG;CNC-Zerspanung;99974;Mühlhausen;Daniel Schreiber;verwaltung@drehteilewerk.de;Heilbad Heiligenstadt;Marx, D.;Aktiv;Ja;34,57;2025-12-29;2;1
KD-0209;Vogel Verwaltungsservice KG;Kaufmännische Dienstleistung;07381;Pößneck;Nadine Herrmann;office@vogel.de;Gera;Steinbrück, M.;Aktiv;Nein;31,72;2026-08-11;14;7
KD-0210;Bauunternehmen Schubert AG;Bau und Baunebengewerbe;99086;Erfurt;Manuela Fuchs;personal@bauunternehmen.de;Erfurt;Lindner, S.;Aktiv;Ja;27,75;2026-04-18;3;3
KD-0211;Hartmann Präzisionsteile GmbH;CNC-Zerspanung;99947;Bad Langensalza;Dirk Jung;verwaltung@hartmann.de;Gotha;Steinbrück, M.;Aktiv;Ja;34,39;2026-02-03;9;4
KD-0212;Zimmermann Offsetdruck GmbH & Co. KG;Druck und Verpackung;07743;Jena;Ralf Werner;verwaltung@zimmermann.de;Jena;Seidel, C.;Inaktiv;Nein;27,55;2023-02-09;0;0
KD-0213;Verpackungswerk Arnstadt GmbH & Co. KG;Druck und Verpackung;99310;Arnstadt;Frank Wolf;personal@verpackungswer.de;Erfurt;Pfaff, R.;Interessent;Nein;;2026-04-30;0;0
KD-0214;Braun Verwaltungsservice GmbH;Kaufmännische Dienstleistung;99974;Mühlhausen;Frank Pohl;personal@braun.de;Heilbad Heiligenstadt;Hille, P.;Aktiv;Nein;26,27;2026-08-13;7;3
KD-0215;Franke & Söhne Blechbearbeitung GmbH;Metall- und Kunststoffverarbeitung;99084;Erfurt;Ines Haas;personal@franke.de;Erfurt;Kaiser, T.;Aktiv;Ja;27,15;2026-06-19;8;2
KD-0216;Zerspanungstechnik Gera GmbH & Co. KG;CNC-Zerspanung;07549;Gera;Frank Krüger;hr@zerspanungstec.de;Gera;Weber, M.;Aktiv;Nein;30,86;2025-11-27;2;1
KD-0217;Graf Metallverarbeitung GmbH;Metall- und Kunststoffverarbeitung;99610;Sömmerda;Marcel Fischer;personal@graf.de;Erfurt;Lindner, S.;Aktiv;Ja;31,59;2026-01-25;4;3
KD-0218;Bauer Offsetdruck GmbH & Co. KG;Druck und Verpackung;99098;Erfurt;Claudia Peters;office@bauer.de;Erfurt;Steinbrück, M.;Interessent;Nein;;2026-05-24;0;0
KD-0219;Molkerei Mühlhausen e.K.;Lebensmittelproduktion;99974;Mühlhausen;Susanne Sommer;verwaltung@molkerei.de;Heilbad Heiligenstadt;Hille, P.;Inaktiv;Nein;25,92;2024-11-05;0;0
KD-0220;Elektrotechnik Wolf e.K.;Elektro und Anlagenbau;07937;Zeulenroda;Daniel Heinrich;hr@elektrotechnik.de;Gera;Steinbrück, M.;Aktiv;Nein;36,10;2025-11-18;1;0
KD-0221;Faltschachtel Mühlhausen GmbH;Druck und Verpackung;99974;Mühlhausen;Yvonne Sommer;info@faltschachtel.de;Heilbad Heiligenstadt;Marx, D.;Inaktiv;Nein;30,85;2023-02-14;0;0
KD-0222;Gothaer Umschlaglager KG;Logistik und Lager;99867;Gotha;Jörg Lehmann;kontakt@gothaer.de;Gotha;Rehberg, U.;Aktiv;Nein;27,13;2026-08-24;2;1
KD-0223;Faltschachtel Leinefelde-Worbis KG;Druck und Verpackung;37327;Leinefelde-Worbis;Frank Ziegler;personal@faltschachtel.de;Heilbad Heiligenstadt;Hille, P.;Inaktiv;Nein;27,20;2022-12-16;0;0
KD-0224;Kunststofftechnik Rudolstadt GmbH;Metall- und Kunststoffverarbeitung;07407;Rudolstadt;Manuela Jung;info@kunststofftech.de;Jena;Grunewald, F.;Inaktiv;Nein;30,19;2025-01-13;0;0
KD-0225;Distributionszentrum Saalfeld GmbH;Logistik und Lager;07318;Saalfeld;Anja Keller;office@distributionsz.de;Jena;Grunewald, F.;Interessent;Nein;;2026-01-29;0;0
KD-0226;Kraus Schaltanlagen GmbH & Co. KG;Elektro und Anlagenbau;99510;Apolda;Yvonne Horn;personal@kraus.de;Erfurt;Pfaff, R.;Inaktiv;Nein;32,11;2021-11-02;0;0
KD-0227;Winkler Hoch- und Tiefbau GmbH;Bau und Baunebengewerbe;99310;Arnstadt;Christian Weber;hr@winkler.de;Erfurt;Steinbrück, M.;Aktiv;Ja;32,56;2026-06-16;3;1
KD-0228;Baumann Präzisionsteile GmbH;CNC-Zerspanung;07318;Saalfeld;Patrick Otto;kontakt@baumann.de;Jena;Steinbrück, M.;Aktiv;Ja;33,28;2026-06-16;1;1
KD-0229;Pohl Hoch- und Tiefbau GmbH & Co. KG;Bau und Baunebengewerbe;99867;Gotha;Uwe Weber;office@pohl.de;Gotha;Steinbrück, M.;Interessent;Nein;;2026-07-02;0;0
KD-0230;Servicecenter Gotha OHG;Kaufmännische Dienstleistung;99867;Gotha;Enrico Keller;info@servicecenter.de;Gotha;Thiel, K.;Inaktiv;Nein;26,22;2024-05-13;0;0
KD-0231;Kundenzentrum Leinefelde-Worbis GmbH & Co. KG;Kaufmännische Dienstleistung;37327;Leinefelde-Worbis;Ralf Klein;hr@kundenzentrum.de;Heilbad Heiligenstadt;Marx, D.;Aktiv;Nein;25,74;2026-01-26;2;0
KD-0232;Wolf Präzisionsteile KG;CNC-Zerspanung;99610;Sömmerda;Patrick Hofmann;verwaltung@wolf.de;Erfurt;Pfaff, R.;Inaktiv;Nein;36,14;2020-10-16;0;0
KD-0233;Erfurter Metallwaren OHG;Metall- und Kunststoffverarbeitung;99091;Erfurt;Jörg Meyer;kontakt@erfurter.de;Erfurt;Pfaff, R.;Inaktiv;Nein;26,54;2025-02-08;0;0
KD-0234;Logistikzentrum Mühlhausen GmbH;Logistik und Lager;99974;Mühlhausen;Daniel Frank;hr@logistikzentru.de;Heilbad Heiligenstadt;Marx, D.;Aktiv;Ja;27,78;2025-11-29;6;4
KD-0235;Anlagenbau Gera GmbH;Elektro und Anlagenbau;07548;Gera;Claudia Weber;verwaltung@anlagenbau.de;Gera;Weber, M.;Aktiv;Nein;33,80;2026-01-25;2;2
KD-0236;Fleischwerk Bad Langensalza e.K.;Lebensmittelproduktion;99947;Bad Langensalza;Kerstin Neumann;personal@fleischwerk.de;Gotha;Thiel, K.;Interessent;Nein;;2026-03-10;0;0
KD-0237;Thüringer Kunststoffwerk Jena AG;Metall- und Kunststoffverarbeitung;07745;Jena;Yvonne Winkler;hr@thueringer.de;Jena;Grunewald, F.;Aktiv;Ja;26,42;2025-12-16;6;2
KD-0238;Fleischwerk Aschersleben GmbH & Co. KG;Lebensmittelproduktion;06449;Aschersleben;Claudia Heinrich;personal@fleischwerk.de;Aschersleben;Reuter, B.;Inaktiv;Nein;27,59;2023-10-08;0;0
KD-0239;Ludwig Metallverarbeitung GmbH;Metall- und Kunststoffverarbeitung;98693;Ilmenau;Yvonne Kraus;info@ludwig.de;Gotha;Steinbrück, M.;Interessent;Nein;;2026-06-23;0;0
KD-0240;Mühlhausener Druckhaus GmbH;Druck und Verpackung;99974;Mühlhausen;Marcel Zimmermann;hr@muehlhausener.de;Heilbad Heiligenstadt;Hille, P.;Inaktiv;Ja;27,51;2024-12-28;0;0
KD-0241;Brandt & Söhne Blechbearbeitung AG;Metall- und Kunststoffverarbeitung;99734;Nordhausen;Michael Simon;info@brandt.de;Heilbad Heiligenstadt;Marx, D.;Inaktiv;Nein;28,31;2020-04-10;0;0
KD-0242;Böhm Präzisionsteile GmbH & Co. KG;CNC-Zerspanung;99423;Weimar;Katrin Seidel;kontakt@boehm.de;Erfurt;Lindner, S.;Aktiv;Nein;30,87;2026-05-26;8;0
KD-0243;Graf Schaltanlagen OHG;Elektro und Anlagenbau;07407;Rudolstadt;Elke Klein;kontakt@graf.de;Jena;Steinbrück, M.;Aktiv;Ja;38,23;2026-07-17;9;6
KD-0244;Trockenbau Möller GmbH & Co. KG;Bau und Baunebengewerbe;99817;Eisenach;Sandra Krause;office@trockenbau.de;Gotha;Rehberg, U.;Interessent;Nein;;2024-08-27;0;0
KD-0245;Krämer Offsetdruck GmbH & Co. KG;Druck und Verpackung;99867;Gotha;Nicole Lehmann;office@kraemer.de;Gotha;Rehberg, U.;Aktiv;Nein;26,75;2026-09-03;3;1
KD-0246;Elektrotechnik Vogt KG;Elektro und Anlagenbau;06449;Aschersleben;Elke Horn;hr@elektrotechnik.de;Aschersleben;Kunze, J.;Inaktiv;Ja;33,30;2019-08-09;0;0
KD-0247;Braun Spedition KG;Logistik und Lager;07973;Greiz;Silke Sommer;kontakt@braun.de;Gera;Weber, M.;Inaktiv;Nein;26,59;2021-10-18;0;0
KD-0248;CNC-Technik Hofmann AG;CNC-Zerspanung;99427;Weimar;Silke Meyer;kontakt@cnctechnik.de;Erfurt;Steinbrück, M.;Aktiv;Nein;30,45;2026-07-19;3;2
KD-0249;Möbelwerk Erfurt KG;Tischlerei und Holzverarbeitung;99087;Erfurt;Elke Baumann;personal@moebelwerk.de;Erfurt;Steinbrück, M.;Aktiv;Nein;29,56;2025-11-20;3;1
KD-0250;Kontraktlogistik Böhm AG;Logistik und Lager;99867;Gotha;Nadine Engel;kontakt@kontraktlogist.de;Gotha;Rehberg, U.;Inaktiv;Nein;25,17;2024-01-27;0;0
KD-0251;Logistikzentrum Leinefelde-Worbis e.K.;Logistik und Lager;37327;Leinefelde-Worbis;Simone Martin;hr@logistikzentru.de;Heilbad Heiligenstadt;Hille, P.;Inaktiv;Nein;25,31;2023-05-12;0;0
KD-0252;Faltschachtel Ohrdruf GmbH;Druck und Verpackung;99885;Ohrdruf;Patrick Kaiser;hr@faltschachtel.de;Gotha;Thiel, K.;Inaktiv;Ja;29,89;2021-06-10;0;0
KD-0253;Seidel Offsetdruck GmbH & Co. KG;Druck und Verpackung;99510;Apolda;Yvonne Kaiser;hr@seidel.de;Erfurt;Kaiser, T.;Aktiv;Ja;30,20;2025-11-13;9;0
KD-0254;Quedlinburger Metallwaren KG;Metall- und Kunststoffverarbeitung;06484;Quedlinburg;Marcel Friedrich;verwaltung@quedlinburger.de;Aschersleben;Reuter, B.;Aktiv;Ja;26,42;2026-01-21;5;2
KD-0255;Hartmann Feinkost KG;Lebensmittelproduktion;98693;Ilmenau;Stefan Wagner;kontakt@hartmann.de;Gotha;Thiel, K.;Inaktiv;Nein;25,58;2024-05-15;0;0
KD-0256;Faltschachtel Staßfurt e.K.;Druck und Verpackung;39418;Staßfurt;Robert Schuster;kontakt@faltschachtel.de;Aschersleben;Kunze, J.;Inaktiv;Nein;29,52;2024-06-03;0;0
KD-0257;Weimarer Baugesellschaft KG;Bau und Baunebengewerbe;99423;Weimar;Maik Beck;personal@weimarer.de;Erfurt;Steinbrück, M.;Inaktiv;Nein;31,60;2022-05-08;0;0
KD-0258;Günther Präzisionsteile e.K.;CNC-Zerspanung;39418;Staßfurt;Christian Wagner;office@guenther.de;Aschersleben;Kunze, J.;Aktiv;Ja;33,80;2026-01-05;6;4
KD-0259;Faltschachtel Erfurt OHG;Druck und Verpackung;99086;Erfurt;Kerstin Schulze;hr@faltschachtel.de;Erfurt;Steinbrück, M.;Interessent;Nein;;2026-07-14;0;0
KD-0260;Peters Offsetdruck KG;Druck und Verpackung;99423;Weimar;Doreen Winkler;office@peters.de;Erfurt;Pfaff, R.;Inaktiv;Nein;30,06;2023-04-21;0;0
